6371.0,0.0,5.732,3.310,2.846,500,250
6368.0,3.0,5.732,3.310,2.846,500,250
6367.9,3.1,6.450,3.670,2.990,1000,500
6355.0,16.0,6.450,3.670,2.990,1000,500
6354.9,16.1,6.590,3.750,3.020,1000,500
6347.0,24.0,6.590,3.750,3.020,1000,500
6346.9,24.1,6.710,3.820,3.040,8600,6200
6336.0,35.0,6.710,3.820,3.040,8600,6200
6335.9,35.1,8.100,4.600,3.320,8600,6200
6326.0,45.0,8.100,4.600,3.320,8600,6200
6325.9,45.1,8.350,4.700,3.370,8600,6200
6316.0,55.0,8.350,4.700,3.370,8600,6200
6315.9,55.1,8.400,4.755,3.380,8600,6200
6306.0,65.0,8.400,4.755,3.380,8600,6200
6305.9,65.1,8.410,4.775,3.387,8600,6200
6296.0,75.0,8.410,4.775,3.387,8600,6200
6295.9,75.1,8.420,4.794,3.393,8600,6200
6286.0,85.0,8.420,4.794,3.393,8600,6200
6285.9,85.1,8.421,4.813,3.400,8600,6200
6276.0,95.0,8.421,4.813,3.400,8600,6200
6275.9,95.1,8.422,4.833,3.407,8600,6200
6266.0,105.0,8.422,4.833,3.407,8600,6200
6265.9,105.1,8.425,4.852,3.413,8600,6200
6256.0,115.0,8.425,4.852,3.413,8600,6200
6255.9,115.1,8.430,4.871,3.420,8600,6200
6256.0,125.0,8.430,4.871,3.420,8600,6200
