net | stat | lat | lon 
FR|TURF|43.974900|7.391900
FR|WALT|47.965735|7.276520
FR|WLS|48.412675|7.353600
GR|MILB|49.828400|9.292300
GR|TMO22|49.219200|8.184800
GU|BHB|44.835170|7.263330
GU|BURY|43.782500|7.556900
GU|CANO|44.207500|8.237200
GU|CARD|44.026000|10.482100
GU|CIRO|45.601900|7.568200
GU|ENR|44.226660|7.420330
GU|EQUI|44.166000|10.153000
GU|GBOS|44.241600|7.839900
GU|GRAM|44.491300|10.065800
GU|GSCL|44.350470|10.588100
GU|LSD|45.459500|7.134330
GU|MAIM|43.914170|10.491500
GU|MGRO|44.042600|7.808200
GU|PCP|44.541330|8.545170
GU|POPM|44.045000|10.757000
GU|REMY|45.837800|7.156500
GU|RNCA|44.471200|8.951200
GU|RORO|44.112170|8.066170
GU|ROTM|44.849300|8.352700
GU|RRL|44.920830|6.790830
GU|RSP|45.148170|7.265330
GU|STV|44.245500|7.326000
GU|TRAV|45.512670|7.747000
HU|BEHE|46.470300|16.775500
HU|BUD|47.483100|19.020100
HU|CSKK|47.363100|18.260600
HU|EGYH|47.416200|17.331700
HU|MPLH|47.171200|17.534800
HU|TIH|46.900100|17.887700
IU|GRFO|49.690900|11.220300
IV|APEC|43.558460|12.419910
IV|ASQU|43.796700|11.789300
IV|BDI|44.062380|10.596980
IV|BRIS|44.224540|11.766570
IV|CAVE|44.865800|11.003100
IV|CELB|42.746577|10.210652
IV|CRMI|43.795597|10.979506
IV|CSNT|43.473110|11.290170
IV|FIR|43.774366|11.255134
IV|IMI|43.910500|7.893170
IV|MILN|45.480300|9.232100
IV|MONC|45.073900|7.927100
IV|NARO|43.610823|12.580583
IV|NDIM|44.887300|10.898700
IV|OPPE|45.308200|11.172400
IV|ORZI|45.405600|9.930700
IV|OSSC|43.523580|11.245790
IV|PII|43.721930|10.524950
IV|PLMA|44.049818|9.853652
IV|PRMA|44.763740|10.313110
IV|RSM2|43.937695|12.445128
IV|SARZ|44.867306|8.913604
IV|SEI|44.054280|11.358550
IV|VARE|45.867695|8.770000
NI|PALA|46.245000|12.924000
NI|POLC|46.026600|12.500500
NI|PURA|46.425800|12.741900
OE|ARSA|47.250500|15.523200
OE|BIOA|47.691300|13.638300
OE|LESA|47.424300|12.677000
OE|RONA|47.699700|16.296300
OE|VIE|48.248300|16.361700
OE|WATA|47.335700|11.576300
OX|ACOM|46.548000|13.513700
OX|AGOR|46.232900|12.047200
OX|BAD|46.234000|13.243800
OX|BALD|45.683000|10.818700
OX|BOO|46.319500|13.098400
OX|CGRP|45.880600|11.804700
OX|CLUD|46.456900|12.881400
OX|FUSE|46.414200|13.001100
OX|MPRI|46.240800|12.987700
OX|PLRO|46.549100|13.148100
OX|PRED|46.442800|13.565000
RD|LOR|47.268300|3.858900
RD|ORIF|44.918300|5.880000
RD|PGF|42.548300|8.999400
RF|GEPF|46.275000|13.138600
SI|BOSI|46.495200|11.318500
SI|KOSI|46.463000|11.377800
SK|MODS|48.373000|17.277000
SL|GOLS|46.010800|15.624500
SL|PDKS|46.061200|14.997700
SL|PERS|46.636500|15.113900
SL|ZALS|46.434200|15.024600
ST|GAGG|46.083500|10.958700
CR|PLIT|44.878389|15.623055
CR|VIRC|44.292497|15.053954
Z3|A001A|48.728694|16.590442
Z3|A003A|47.758925|17.053046
Z3|A004A|47.962876|16.397063
Z3|A006A|48.740379|16.020298
Z3|A007A|48.716246|15.528793
Z3|A008A|48.368663|15.652187
Z3|A009A|47.677545|16.090361
Z3|A012A|47.603986|15.585996
Z3|A013A|48.063503|15.406258
Z3|A014A|48.348264|15.161949
Z3|A015A|48.933370|14.993640
Z3|A016A|48.301372|14.649613
Z3|A017A|47.947999|14.758903
Z3|A018A|47.743667|15.077621
Z3|A019A|47.445667|15.085607
Z3|A021A|46.756569|15.825348
Z3|A022A|48.634810|14.732590
Z3|A023A|48.460820|14.070720
Z3|A025A|47.520740|14.416480
Z3|A026A|46.933176|14.551554
Z3|A027A|46.815900|14.007370
Z3|A029A|47.430070|13.761050
Z3|A030A|47.827700|13.561200
Z3|A031A|48.427190|13.497460
Z3|A032A|48.122990|13.306320
Z3|A033A|47.479741|13.125997
Z3|A034A|46.909140|13.078750
Z3|A036A|47.378903|12.308427
Z3|A037A|47.070347|10.264323
Z3|A038A|47.464200|11.918800
Z3|A050A|44.481800|16.531300
Z3|A051A|45.012500|16.906900
Z3|A052A|45.102600|17.513900
Z3|A061A|47.098350|8.925220
Z3|A062A|46.180800|9.112600
Z3|A071A|49.741900|12.691100
Z3|A072A|49.468300|13.173500
Z3|A073A|49.991600|13.233100
Z3|A074A|49.671500|13.530900
Z3|A075A|50.037700|13.873700
Z3|A076A|49.616800|14.149400
Z3|A077A|49.270500|14.073900
Z3|A078A|48.864000|14.284500
Z3|A079A|49.228800|14.707400
Z3|A080A|49.684000|14.928800
Z3|A081A|50.075200|15.034100
Z3|A082A|50.061000|15.650200
Z3|A083A|49.695900|15.607700
Z3|A084A|48.943400|15.700700
Z3|A085A|49.439200|16.196200
Z3|A086A|49.852800|16.145700
Z3|A087A|49.704900|16.889300
Z3|A089A|49.152100|17.092000
Z3|A090A|49.365500|17.827800
Z3|A100A|48.452999|8.926085
Z3|A102A|48.140039|9.199346
Z3|A105A|47.406962|10.293358
Z3|A108A|48.347749|9.831130
Z3|A109A|48.443790|9.458581
Z3|A110A|49.777000|8.729000
Z3|A111A|49.847800|10.213200
Z3|A112A|49.649940|7.908560
Z3|A114A|49.590100|9.182400
Z3|A115A|49.273972|9.052361
Z3|A117A|49.044090|9.568390
Z3|A119A|49.007100|10.038400
Z3|A122A|48.278510|7.867820
Z3|A123A|48.611530|7.890960
Z3|A124A|48.653870|8.494100
Z3|A125A|48.974300|8.683670
Z3|A126A|48.989350|8.492140
Z3|A127A|49.196680|7.978080
Z3|A128A|49.398600|8.596290
Z3|A129A|49.342620|7.741950
Z3|A140A|47.552300|11.436100
Z3|A141A|47.752800|11.849000
BW|MGS04|47.979698|11.718800
Z3|A143A|47.683600|11.003200
Z3|A144A|48.097900|12.083800
Z3|A145A|47.867300|12.396000
Z3|A146A|48.292800|12.975000
Z3|A151A|48.882000|6.379850
Z3|A152A|48.724800|6.853920
Z3|A153A|48.318000|4.796800
Z3|A154A|48.441700|5.515230
Z3|A155A|48.431200|6.084040
Z3|A156A|47.946700|4.534100
Z3|A158A|48.004400|6.347000
Z3|A159A|47.643900|4.317890
Z3|A160A|47.690800|5.050200
Z3|A161A|47.583500|6.010800
Z3|A162A|47.305500|4.579350
Z3|A163A|47.197000|5.201020
Z3|A165A|46.910200|3.498400
Z3|A167A|46.746900|5.319510
Z3|A168A|46.560400|3.932900
Z3|A169A|46.596300|4.581830
Z3|A170A|46.378100|3.447400
Z3|A171A|46.200800|4.112500
Z3|A173A|46.329600|6.680800
Z3|A174A|45.992600|4.461900
Z3|A175A|45.942700|5.074700
Z3|A176A|45.717800|4.066600
Z3|A177A|45.596300|4.608600
Z3|A179A|45.472300|2.972200
Z3|A180A|45.311300|4.042700
Z3|A181A|45.380500|6.302000
Z3|A182A|44.969500|2.806900
Z3|A183A|45.010700|3.663000
Z3|A184A|44.892000|4.451600
Z3|A185A|45.120900|5.072800
Z3|A187A|44.734300|3.339800
Z3|A188A|44.600100|3.936700
Z3|A190A|44.324600|2.869500
Z3|A191A|44.319300|3.537800
Z3|A193A|44.371200|5.147620
Z3|A194A|44.393300|6.502300
Z3|A195A|43.975200|2.719300
Z3|A196A|44.051500|4.528000
Z3|A198A|43.600600|2.800400
Z3|A199A|43.743800|3.688300
Z3|A200A|43.692700|4.188500
Z3|A201A|43.500600|4.791700
Z3|A202A|43.502500|3.260200
Z3|A204A|43.241300|5.609900
Z3|A205A|43.200100|6.233500
Z3|A206A|43.219700|6.601000
Z3|A208A|42.232600|8.793700
Z3|A210A|48.827700|5.922540
Z3|A211A|48.407100|6.619520
Z3|A212A|48.093100|5.044400
Z3|A213A|47.496700|5.479900
Z3|A214A|46.362000|5.800300
Z3|A215A|45.430700|5.232260
Z3|A216A|44.429100|5.549890
Z3|A217A|44.370100|6.073300
Z3|A250A|45.084000|14.910600
Z3|A251A|45.128600|16.266400
Z3|A252A|45.435600|17.848200
Z3|A253A|45.292600|13.816700
Z3|A254A|45.314800|15.805000
Z3|A255A|45.509000|16.050700
Z3|A260A|47.283270|16.705890
Z3|A261A|46.952098|17.148597
Z3|A262A|46.864238|16.527617
Z3|A263A|46.640780|17.314860
Z3|A264A|46.159675|17.289686
Z3|A265A|46.424445|17.795495
Z3|A266A|46.525610|18.264720
Z3|A267A|46.946341|18.481994
Z3|A268A|47.431270|17.923820
Z3|A269A|47.638560|18.382360
Z3|A270A|47.845200|19.018600
Z3|A271A|47.154700|18.834100
Z3|A272A|46.744449|18.965496
Z3|A273A|45.916386|17.815970
Z3|A280A|44.539100|7.908900
Z3|A281A|44.853400|7.709900
Z3|A282A|45.254500|7.613300
Z3|A284A|45.137100|9.383700
Z3|A285A|44.893900|9.909800
Z3|A286A|45.366000|8.833800
Z3|A287A|45.622500|8.361000
Z3|A288A|46.008200|8.481800
Z3|A289A|46.047300|9.761000
Z3|A290A|46.506800|10.902800
Z3|A291A|46.624600|11.880500
Z3|A301A|45.619781|12.620993
Z3|A304A|45.016739|12.033501
Z3|A305A|44.959236|12.432347
Z3|A306A|44.535919|10.596118
Z3|A307A|44.660755|11.436312
Z3|A308A|44.582485|12.005684
Z3|A309A|44.170353|12.244515
Z3|A312A|45.107380|10.481657
Z3|A313A|45.313467|10.662822
Z3|A317A|43.049999|9.842445
Z3|A318A|43.120987|10.573185
Z3|A319A|43.476425|10.578689
Z3|A331A|49.150114|18.220939
Z3|A332A|48.804489|18.464488
Z3|A333A|48.715571|17.104104
Z3|A334A|48.604392|17.674728
Z3|A335A|48.446947|18.335925
Z3|A336A|48.233339|18.999038
Z3|A337A|48.244305|17.789761
Z3|A338A|48.015155|18.352506
Z3|A339A|47.829403|17.655876
Z3|A350A|50.167400|11.570800
Z3|A352A|49.821400|11.690300
Z3|A353A|49.517800|10.542600
Z3|A354A|49.452300|10.969000
Z3|A355A|49.349000|12.383200
